employee_no,timestamp
5714,12-12-2019 08:14
5714,12-12-2019 17:04
5757,12-12-2019 09:53
5757,12-12-2019 19:14
5801,12-12-2019 09:04
5801,12-12-2019 18:10
5845,12-12-2019 10:10
5845,12-12-2019 19:49
5847,12-12-2019 09:15
5847,12-12-2019 18:10
5877,12-12-2019 15:11
5877,12-12-2019 16:37
5904,12-12-2019 09:07
5904,12-12-2019 19:29
5907,12-12-2019 10:05
5907,12-12-2019 20:15
6046,12-12-2019 08:30
6046,12-12-2019 18:18
6047,12-12-2019 08:44
6047,12-12-2019 18:05
6065,12-12-2019 10:52
6065,12-12-2019 21:55
6135,12-12-2019 11:01
6135,12-12-2019 18:52
6149,12-12-2019 07:51
6149,12-12-2019 17:51
6185,12-12-2019 09:31
6185,12-12-2019 19:29
6205,12-12-2019 07:18
6205,12-12-2019 16:17
6210,12-12-2019 09:53
6210,12-12-2019 19:51
6243,12-12-2019 10:11
6243,12-12-2019 18:04
6247,12-12-2019 09:05
6247,12-12-2019 18:17
6322,12-12-2019 08:58
6322,12-12-2019 18:04
6386,12-12-2019 08:18
6386,12-12-2019 17:52
6469,12-12-2019 09:19
6469,12-12-2019 18:35
6535,12-12-2019 09:39
6535,12-12-2019 19:01
6537,12-12-2019 10:16
6537,12-12-2019 23:39
6547,12-12-2019 09:36
6547,12-12-2019 20:01
6579,12-12-2019 10:29
6579,12-12-2019 18:50
6580,12-12-2019 10:12
6580,12-12-2019 13:04
6644,12-12-2019 11:00
6644,12-12-2019 18:28
6695,12-12-2019 08:36
6695,12-12-2019 17:52
6723,12-12-2019 09:34
6723,12-12-2019 21:34
6831,12-12-2019 10:15
6831,12-12-2019 19:09
6858,12-12-2019 10:27
6858,12-12-2019 18:52
6872,12-12-2019 09:54
6872,12-12-2019 18:52
6904,12-12-2019 09:05
6904,12-12-2019 18:35
7007,12-12-2019 10:02
7007,12-12-2019 21:59
7053,12-12-2019 11:04
7053,12-12-2019 18:07
7092,12-12-2019 10:39
7092,12-12-2019 19:33
7099,12-12-2019 08:33
7099,12-12-2019 18:07
7103,12-12-2019 09:24
7103,12-12-2019 19:44
7106,12-12-2019 09:28
7106,12-12-2019 19:50
7205,12-12-2019 08:24
7205,12-12-2019 18:29
7221,12-12-2019 12:41
7221,12-12-2019 21:27
7223,12-12-2019 09:47
7223,12-12-2019 19:02
7281,12-12-2019 09:49
7281,12-12-2019 19:41
7287,12-12-2019 09:42
7287,12-12-2019 18:43
7419,12-12-2019 13:00
7419,12-12-2019 21:54
7456,12-12-2019 09:26
7456,12-12-2019 18:27
7545,12-12-2019 09:26
7545,12-12-2019 18:04
7591,12-12-2019 07:42
7591,12-12-2019 18:22
7592,12-12-2019 07:40
7592,12-12-2019 19:11
7596,12-12-2019 09:28
7596,12-12-2019 18:32
7616,12-12-2019 10:02
7616,12-12-2019 18:45
7617,12-12-2019 10:23
7617,12-12-2019 18:41
7723,12-12-2019 10:08
7723,12-12-2019 18:06
7765,12-12-2019 12:27
7765,12-12-2019 21:55
7815,12-12-2019 08:43
7815,12-12-2019 18:13
7822,12-12-2019 08:54
7822,12-12-2019 18:06
7926,12-12-2019 09:01
7926,12-12-2019 18:37
7949,12-12-2019 09:41
7949,12-12-2019 19:55
7958,12-12-2019 08:09
7958,12-12-2019 18:00
8036,12-12-2019 09:29
8036,12-12-2019 18:52
8156,12-12-2019 09:03
8156,12-12-2019 18:44
8202,12-12-2019 13:19
8202,12-12-2019 22:00
8254,12-12-2019 09:52
8254,12-12-2019 17:34
8288,12-12-2019 12:27
8288,12-12-2019 17:57
8378,12-12-2019 08:59
8378,12-12-2019 18:40
8435,12-12-2019 08:57
8435,12-12-2019 18:19
8463,12-12-2019 08:54
8463,12-12-2019 18:01
8465,12-12-2019 07:24
8465,12-12-2019 17:27
8480,12-12-2019 11:19
8480,12-12-2019 21:38
8489,12-12-2019 12:27
8489,12-12-2019 21:55
8490,12-12-2019 09:14
8490,12-12-2019 19:11
8514,12-12-2019 10:47
8514,12-12-2019 20:43
8515,12-12-2019 11:29
8515,12-12-2019 20:31
8518,12-12-2019 08:37
8518,12-12-2019 18:02
8579,12-12-2019 10:38
8579,12-12-2019 19:40
8580,12-12-2019 10:37
8580,12-12-2019 20:03
8582,12-12-2019 11:28
8582,12-12-2019 21:53
8584,12-12-2019 07:33
8584,12-12-2019 18:37
8597,12-12-2019 09:38
8597,12-12-2019 18:53
8604,12-12-2019 08:57
8604,12-12-2019 18:00
8649,12-12-2019 07:43
8649,12-12-2019 17:21
8650,12-12-2019 10:08
8650,12-12-2019 19:10
8666,12-12-2019 07:47
8666,12-12-2019 18:46
8669,12-12-2019 08:45
8669,12-12-2019 18:31
8709,12-12-2019 10:20
8709,12-12-2019 19:30
8780,12-12-2019 10:34
8780,12-12-2019 19:48
8793,12-12-2019 10:14
8793,12-12-2019 21:51
8853,12-12-2019 07:44
8853,12-12-2019 14:42
8867,12-12-2019 08:48
8867,12-12-2019 20:56
8871,12-12-2019 07:24
8871,12-12-2019 19:01
8904,12-12-2019 11:40
8904,12-12-2019 21:06
8932,12-12-2019 09:26
8932,12-12-2019 18:53
9009,12-12-2019 10:37
9009,12-12-2019 18:02
9010,12-12-2019 08:31
9010,12-12-2019 19:02
9014,12-12-2019 08:23
9014,12-12-2019 18:00
9015,12-12-2019 08:22
9015,12-12-2019 18:10
9018,12-12-2019 08:41
9018,12-12-2019 18:05
9054,12-12-2019 08:55
9054,12-12-2019 18:20
9060,12-12-2019 08:52
9060,12-12-2019 18:18
9072,12-12-2019 10:08
9072,12-12-2019 21:35
9100,12-12-2019 11:38
9100,12-12-2019 21:31
9114,12-12-2019 11:10
9114,12-12-2019 18:45
9119,12-12-2019 10:19
9119,12-12-2019 19:16
9142,12-12-2019 10:56
9142,12-12-2019 22:17
9169,12-12-2019 09:08
9169,12-12-2019 18:07
9173,12-12-2019 10:08
9173,12-12-2019 19:02
9317,12-12-2019 09:35
9317,12-12-2019 18:30
9318,12-12-2019 09:00
9318,12-12-2019 19:02
9396,12-12-2019 09:20
9396,12-12-2019 09:28
9424,12-12-2019 09:14
9424,12-12-2019 19:41
9497,12-12-2019 08:41
9497,12-12-2019 21:34
9498,12-12-2019 08:24
9498,12-12-2019 16:53
9535,12-12-2019 08:52
9535,12-12-2019 18:06
9608,12-12-2019 09:38
9608,12-12-2019 18:30
9626,12-12-2019 07:24
9626,12-12-2019 17:56
9634,12-12-2019 11:09
9634,12-12-2019 21:39
9654,12-12-2019 08:54
9654,12-12-2019 18:07
9655,12-12-2019 08:52
9655,12-12-2019 18:00
9657,12-12-2019 08:40
9657,12-12-2019 18:00
9660,12-12-2019 10:18
9660,12-12-2019 18:01
9687,12-12-2019 08:52
9687,12-12-2019 18:05
9837,12-12-2019 10:38
9837,12-12-2019 18:20
9850,12-12-2019 11:18
9850,12-12-2019 19:13
9852,12-12-2019 07:56
9852,12-12-2019 17:36
9861,12-12-2019 07:35
9861,12-12-2019 17:02
9867,12-12-2019 08:43
9867,12-12-2019 16:08
9892,12-12-2019 10:03
9892,12-12-2019 19:19
9923,12-12-2019 12:55
9923,12-12-2019 21:34
10047,12-12-2019 09:48
10047,12-12-2019 19:44
10056,12-12-2019 10:02
10056,12-12-2019 19:15
10092,12-12-2019 10:21
10092,12-12-2019 19:27
10124,12-12-2019 08:48
10124,12-12-2019 16:57
10151,12-12-2019 08:31
10151,12-12-2019 17:57
10154,12-12-2019 08:01
10154,12-12-2019 18:09
10156,12-12-2019 08:03
10156,12-12-2019 18:01
10172,12-12-2019 08:52
10172,12-12-2019 21:51
10178,12-12-2019 08:42
10178,12-12-2019 18:06
10488,12-12-2019 12:21
10488,12-12-2019 19:58
10533,12-12-2019 08:06
10533,12-12-2019 14:32
10553,12-12-2019 07:55
10553,12-12-2019 17:24
10561,12-12-2019 09:58
10561,12-12-2019 17:36
10562,12-12-2019 08:45
10562,12-12-2019 17:40
10596,12-12-2019 08:46
10596,12-12-2019 18:46
10606,12-12-2019 12:54
10606,12-12-2019 21:54
10662,12-12-2019 07:26
10662,12-12-2019 17:22
10669,12-12-2019 07:25
10669,12-12-2019 17:26
10676,12-12-2019 11:45
10676,12-12-2019 21:38
10710,12-12-2019 09:32
10710,12-12-2019 17:52
10790,12-12-2019 10:14
10790,12-12-2019 19:32
10791,12-12-2019 09:50
10791,12-12-2019 19:34
10800,12-12-2019 12:06
10800,12-12-2019 21:53
10806,12-12-2019 10:33
10806,12-12-2019 19:55
10817,12-12-2019 07:35
10817,12-12-2019 17:34
10837,12-12-2019 09:40
10837,12-12-2019 18:10
10843,12-12-2019 07:35
10843,12-12-2019 17:24
10865,12-12-2019 08:07
10865,12-12-2019 15:21
10869,12-12-2019 08:43
10869,12-12-2019 18:01
10936,12-12-2019 09:42
10936,12-12-2019 19:22
11024,12-12-2019 10:09
11024,12-12-2019 19:24
11065,12-12-2019 09:49
11065,12-12-2019 19:17
11096,12-12-2019 09:30
11096,12-12-2019 18:08
11102,12-12-2019 10:03
11102,12-12-2019 19:14
11124,12-12-2019 12:19
11124,12-12-2019 21:33
11142,12-12-2019 10:35
11142,12-12-2019 19:18
11149,12-12-2019 10:08
11149,12-12-2019 21:58
11357,12-12-2019 08:32
11357,12-12-2019 18:01
11364,12-12-2019 08:41
11364,12-12-2019 18:20
11441,12-12-2019 10:24
11441,12-12-2019 21:19
11489,12-12-2019 08:59
11489,12-12-2019 18:10
11514,12-12-2019 09:44
11514,12-12-2019 18:46
11665,12-12-2019 08:34
11665,12-12-2019 18:01
11671,12-12-2019 07:42
11671,12-12-2019 17:22
11676,12-12-2019 08:42
11676,12-12-2019 18:08
11678,12-12-2019 08:15
11678,12-12-2019 18:01
11761,12-12-2019 08:53
11761,12-12-2019 18:16
11787,12-12-2019 08:27
11787,12-12-2019 19:03
11796,12-12-2019 07:49
11796,12-12-2019 19:40
11808,12-12-2019 07:33
11808,12-12-2019 17:02
11814,12-12-2019 08:38
11814,12-12-2019 17:49
11829,12-12-2019 08:52
11829,12-12-2019 18:03
11933,12-12-2019 07:42
11933,12-12-2019 19:13
11987,12-12-2019 09:53
11987,12-12-2019 17:45
11992,12-12-2019 08:01
11992,12-12-2019 22:17
12009,12-12-2019 07:50
12009,12-12-2019 17:27
12011,12-12-2019 08:46
12011,12-12-2019 18:03
12127,12-12-2019 07:55
12127,12-12-2019 17:27
12132,12-12-2019 07:55
12132,12-12-2019 17:40
12212,12-12-2019 09:37
12212,12-12-2019 15:41
12230,12-12-2019 09:24
12230,12-12-2019 18:34
12283,12-12-2019 11:09
12283,12-12-2019 21:44
12286,12-12-2019 07:54
12286,12-12-2019 17:04
12311,12-12-2019 08:36
12311,12-12-2019 17:47
13501,12-12-2019 11:01
13501,12-12-2019 17:05
13502,12-12-2019 07:57
13502,12-12-2019 17:36
13504,12-12-2019 08:53
13504,12-12-2019 17:54
13526,12-12-2019 08:01
13526,12-12-2019 17:21
13572,12-12-2019 07:24
13572,12-12-2019 17:30
13575,12-12-2019 09:31
13575,12-12-2019 19:07
13600,12-12-2019 10:29
13600,12-12-2019 19:21
13606,12-12-2019 07:46
13606,12-12-2019 17:02
13610,12-12-2019 07:44
13610,12-12-2019 18:50
13621,12-12-2019 09:54
13621,12-12-2019 20:34
13624,12-12-2019 08:49
13624,12-12-2019 18:04
13641,12-12-2019 07:19
13641,12-12-2019 17:22
13646,12-12-2019 10:08
13646,12-12-2019 19:11
13676,12-12-2019 08:50
13676,12-12-2019 18:34
13690,12-12-2019 11:11
13690,12-12-2019 19:08
13747,12-12-2019 09:30
13747,12-12-2019 20:13
13810,12-12-2019 07:36
13810,12-12-2019 19:13
13816,12-12-2019 09:39
13816,12-12-2019 19:05
13897,12-12-2019 09:55
13897,12-12-2019 18:53
13907,12-12-2019 09:32
13907,12-12-2019 18:42
13908,12-12-2019 09:29
13908,12-12-2019 19:24
13909,12-12-2019 09:29
13909,12-12-2019 18:42
13956,12-12-2019 07:25
13956,12-12-2019 17:20
13957,12-12-2019 07:33
13957,12-12-2019 18:05
13961,12-12-2019 07:33
13961,12-12-2019 17:32
14044,12-12-2019 07:23
14044,12-12-2019 17:24
14069,12-12-2019 09:18
14069,12-12-2019 18:49
14074,12-12-2019 09:47
14074,12-12-2019 18:49
14113,12-12-2019 07:35
14113,12-12-2019 17:06
14114,12-12-2019 08:21
14114,12-12-2019 18:06
14134,12-12-2019 07:23
14134,12-12-2019 13:48
14140,12-12-2019 09:12
14140,12-12-2019 14:05
14173,12-12-2019 07:25
14173,12-12-2019 17:58
14178,12-12-2019 09:50
14178,12-12-2019 20:46
14212,12-12-2019 09:31
14212,12-12-2019 19:06
14243,12-12-2019 07:29
14243,12-12-2019 17:33
14305,12-12-2019 07:24
14305,12-12-2019 17:42
14340,12-12-2019 11:40
14340,12-12-2019 22:04
14356,12-12-2019 10:33
14356,12-12-2019 17:45
14357,12-12-2019 07:48
14357,12-12-2019 17:18
14400,12-12-2019 10:06
14400,12-12-2019 19:08
14417,12-12-2019 09:12
14417,12-12-2019 19:01
14458,12-12-2019 09:46
14458,12-12-2019 19:01
14464,12-12-2019 07:52
14464,12-12-2019 17:50
14519,12-12-2019 08:44
14519,12-12-2019 18:16
14580,12-12-2019 07:23
14580,12-12-2019 17:59
14581,12-12-2019 07:27
14581,12-12-2019 18:22
14632,12-12-2019 07:54
14632,12-12-2019 17:07
14637,12-12-2019 07:07
14637,12-12-2019 18:04
14687,12-12-2019 10:59
14687,12-12-2019 20:14
14688,12-12-2019 10:26
14688,12-12-2019 20:02
14701,12-12-2019 09:52
14701,12-12-2019 18:56
14715,12-12-2019 07:03
14715,12-12-2019 18:00
14812,12-12-2019 08:43
14812,12-12-2019 17:46
14829,12-12-2019 07:56
14829,12-12-2019 17:01
14831,12-12-2019 09:16
14831,12-12-2019 19:01
14832,12-12-2019 11:41
14832,12-12-2019 21:02
14837,12-12-2019 07:06
14837,12-12-2019 18:02
14847,12-12-2019 08:51
14847,12-12-2019 19:47
14903,12-12-2019 07:17
14903,12-12-2019 17:14
14905,12-12-2019 09:20
14905,12-12-2019 19:03
14935,12-12-2019 10:20
14935,12-12-2019 16:52
14964,12-12-2019 07:56
14964,12-12-2019 17:02
14969,12-12-2019 09:38
14969,12-12-2019 20:46
15004,12-12-2019 06:36
15004,12-12-2019 16:03
15008,12-12-2019 07:59
15008,12-12-2019 18:19
15053,12-12-2019 10:45
15053,12-12-2019 20:44
15071,12-12-2019 08:16
15071,12-12-2019 17:05
15128,12-12-2019 08:54
15128,12-12-2019 19:02
15130,12-12-2019 09:01
15130,12-12-2019 20:36
15136,12-12-2019 08:44
15136,12-12-2019 18:08
15186,12-12-2019 08:32
15186,12-12-2019 18:05
15201,12-12-2019 07:29
15201,12-12-2019 17:26
15241,12-12-2019 09:39
15241,12-12-2019 19:36
15251,12-12-2019 10:00
15251,12-12-2019 17:53
15268,12-12-2019 07:43
15268,12-12-2019 18:44
15277,12-12-2019 08:09
15277,12-12-2019 17:02
15278,12-12-2019 09:43
15278,12-12-2019 18:39
16368,12-12-2019 09:38
16368,12-12-2019 19:00
16383,12-12-2019 11:48
16383,12-12-2019 21:02
16388,12-12-2019 08:04
16388,12-12-2019 17:30
16391,12-12-2019 10:24
16391,12-12-2019 17:43
16459,12-12-2019 10:40
16459,12-12-2019 20:10
16462,12-12-2019 07:28
16462,12-12-2019 17:51
16463,12-12-2019 07:13
16463,12-12-2019 18:23
16466,12-12-2019 07:21
16466,12-12-2019 18:00
16468,12-12-2019 07:41
16468,12-12-2019 19:13
16471,12-12-2019 07:51
16471,12-12-2019 17:33
16474,12-12-2019 07:56
16474,12-12-2019 17:44
16475,12-12-2019 09:56
16475,12-12-2019 18:30
16482,12-12-2019 09:44
16482,12-12-2019 18:36
16483,12-12-2019 10:58
16483,12-12-2019 18:18
16484,12-12-2019 09:59
16484,12-12-2019 18:09
16527,12-12-2019 07:36
16527,12-12-2019 17:06
16638,12-12-2019 07:42
16638,12-12-2019 17:52
16639,12-12-2019 07:25
16639,12-12-2019 19:11
16649,12-12-2019 11:36
16649,12-12-2019 21:43
16672,12-12-2019 09:47
16672,12-12-2019 20:19
16676,12-12-2019 09:27
16676,12-12-2019 20:36
16766,12-12-2019 07:46
16766,12-12-2019 17:31
16804,12-12-2019 07:48
16804,12-12-2019 17:20
16815,12-12-2019 07:55
16815,12-12-2019 16:28
16821,12-12-2019 14:21
16821,12-12-2019 21:06
16822,12-12-2019 07:48
16822,12-12-2019 17:02
16824,12-12-2019 07:29
16824,12-12-2019 17:27
16826,12-12-2019 07:41
16826,12-12-2019 17:36
16861,12-12-2019 08:47
16861,12-12-2019 19:05
16867,12-12-2019 10:25
16867,12-12-2019 18:39
16923,12-12-2019 07:39
16923,12-12-2019 17:36
16930,12-12-2019 09:01
16930,12-12-2019 18:15
16931,12-12-2019 08:36
16931,12-12-2019 17:55
16953,12-12-2019 06:57
16953,12-12-2019 12:17
16985,12-12-2019 07:12
16985,12-12-2019 17:29
17067,12-12-2019 07:41
17067,12-12-2019 21:54
17081,12-12-2019 07:51
17081,12-12-2019 17:52
17116,12-12-2019 09:09
17116,12-12-2019 17:55
17140,12-12-2019 07:41
17140,12-12-2019 17:35
17142,12-12-2019 07:39
17142,12-12-2019 17:31
17152,12-12-2019 09:38
17152,12-12-2019 19:01
17153,12-12-2019 09:12
17153,12-12-2019 13:05
17192,12-12-2019 08:33
17192,12-12-2019 18:02
17195,12-12-2019 09:34
17195,12-12-2019 19:49
17212,12-12-2019 09:11
17212,12-12-2019 18:30
17221,12-12-2019 10:48
17221,12-12-2019 19:40
17237,12-12-2019 08:04
17237,12-12-2019 17:33
17243,12-12-2019 07:24
17243,12-12-2019 17:49
17296,12-12-2019 07:54
17296,12-12-2019 17:07
17383,12-12-2019 08:26
17383,12-12-2019 18:56
17386,12-12-2019 08:43
17386,12-12-2019 18:04
17402,12-12-2019 07:40
17402,12-12-2019 17:03
17406,12-12-2019 07:34
17406,12-12-2019 17:33
17412,12-12-2019 07:44
17412,12-12-2019 17:41
17417,12-12-2019 07:48
17417,12-12-2019 17:27
17438,12-12-2019 07:41
17438,12-12-2019 17:06
17440,12-12-2019 09:59
17440,12-12-2019 18:15
17441,12-12-2019 09:23
17441,12-12-2019 18:06
17484,12-12-2019 10:19
17484,12-12-2019 19:15
17544,12-12-2019 08:05
17544,12-12-2019 18:17
17593,12-12-2019 08:52
17593,12-12-2019 17:45
17597,12-12-2019 07:38
17597,12-12-2019 17:32
17598,12-12-2019 07:38
17598,12-12-2019 17:44
17607,12-12-2019 09:39
17607,12-12-2019 19:11
17608,12-12-2019 07:39
17608,12-12-2019 17:31
17623,12-12-2019 08:54
17623,12-12-2019 18:33
17632,12-12-2019 08:38
17632,12-12-2019 18:16
17675,12-12-2019 08:14
17675,12-12-2019 17:09
17693,12-12-2019 08:48
17693,12-12-2019 18:43
17782,12-12-2019 08:24
17782,12-12-2019 19:20
17794,12-12-2019 08:33
17794,12-12-2019 19:10
17795,12-12-2019 08:08
17795,12-12-2019 21:19
17834,12-12-2019 09:29
17834,12-12-2019 18:39
17838,12-12-2019 07:57
17838,12-12-2019 18:06
17904,12-12-2019 14:03
17904,12-12-2019 17:01
17907,12-12-2019 09:55
17907,12-12-2019 18:59
17968,12-12-2019 08:56
17968,12-12-2019 20:02
17996,12-12-2019 08:00
17996,12-12-2019 18:56
17997,12-12-2019 09:46
17997,12-12-2019 18:40
17998,12-12-2019 11:37
17998,12-12-2019 21:22
18042,12-12-2019 10:08
18042,12-12-2019 19:22
18090,12-12-2019 08:55
18090,12-12-2019 19:01
18092,12-12-2019 09:42
18092,12-12-2019 20:36
18102,12-12-2019 09:54
18102,12-12-2019 18:00
18118,12-12-2019 13:09
18118,12-12-2019 21:50
18136,12-12-2019 09:48
18136,12-12-2019 19:03
18162,12-12-2019 09:36
18162,12-12-2019 13:59
18166,12-12-2019 09:19
18166,12-12-2019 19:40
18187,12-12-2019 08:35
18187,12-12-2019 15:43
18233,12-12-2019 10:48
18233,12-12-2019 19:14
18274,12-12-2019 09:07
18274,12-12-2019 18:31
18334,12-12-2019 05:33
18334,12-12-2019 22:41
18339,12-12-2019 07:48
18339,12-12-2019 17:25
18368,12-12-2019 08:34
18368,12-12-2019 21:34
18373,12-12-2019 09:11
18373,12-12-2019 18:11
18402,12-12-2019 08:48
18402,12-12-2019 18:07
18511,12-12-2019 09:19
18511,12-12-2019 18:39
18524,12-12-2019 09:11
18524,12-12-2019 19:37
18525,12-12-2019 09:04
18525,12-12-2019 19:53
18549,12-12-2019 10:02
18549,12-12-2019 19:07
18642,12-12-2019 08:20
18642,12-12-2019 17:54
18644,12-12-2019 09:59
18644,12-12-2019 20:34
18649,12-12-2019 11:12
18649,12-12-2019 18:41
18653,12-12-2019 08:56
18653,12-12-2019 18:46
18654,12-12-2019 10:46
18654,12-12-2019 20:04
18767,12-12-2019 07:57
18767,12-12-2019 19:01
19040,12-12-2019 07:37
19040,12-12-2019 18:52
19053,12-12-2019 07:42
19053,12-12-2019 17:51
19087,12-12-2019 08:26
19087,12-12-2019 17:09
19110,12-12-2019 09:11
19110,12-12-2019 18:19
19111,12-12-2019 10:47
19111,12-12-2019 14:22
19123,12-12-2019 08:57
19123,12-12-2019 19:14
19124,12-12-2019 08:37
19124,12-12-2019 19:32
19126,12-12-2019 08:49
19126,12-12-2019 18:19
19153,12-12-2019 09:14
19153,12-12-2019 18:48
19312,12-12-2019 07:02
19312,12-12-2019 16:03
19322,12-12-2019 07:46
19322,12-12-2019 17:09
19329,12-12-2019 07:36
19329,12-12-2019 17:24
19340,12-12-2019 08:44
19340,12-12-2019 17:34
19355,12-12-2019 07:38
19355,12-12-2019 18:54
19373,12-12-2019 09:32
19373,12-12-2019 18:33
19625,12-12-2019 10:30
19625,12-12-2019 19:31
19629,12-12-2019 10:19
19629,12-12-2019 18:02
19630,12-12-2019 07:39
19630,12-12-2019 18:52
19636,12-12-2019 08:23
19636,12-12-2019 18:10
19637,12-12-2019 08:22
19637,12-12-2019 18:09
19680,12-12-2019 07:46
19680,12-12-2019 17:35
19698,12-12-2019 09:04
19698,12-12-2019 19:46
19724,12-12-2019 08:42
19724,12-12-2019 18:00
19729,12-12-2019 08:19
19729,12-12-2019 18:09
19751,12-12-2019 09:48
19751,12-12-2019 18:44
19947,12-12-2019 08:13
19947,12-12-2019 16:01
19971,12-12-2019 08:53
19971,12-12-2019 18:15
19982,12-12-2019 08:57
19982,12-12-2019 18:25
19983,12-12-2019 00:51
19983,12-12-2019 23:27
19995,12-12-2019 07:39
19995,12-12-2019 17:07
20003,12-12-2019 09:40
20003,12-12-2019 18:59
20039,12-12-2019 07:34
20039,12-12-2019 17:20
20053,12-12-2019 08:39
20053,12-12-2019 18:01
20281,12-12-2019 09:13
20281,12-12-2019 20:05
20290,12-12-2019 08:48
20290,12-12-2019 18:02
20291,12-12-2019 08:46
20291,12-12-2019 18:06
